Assign Product,Assign Product
Product Condition,Product Condition
New,New
Used,Used
Price,Price
Quantity,Quantity
Description,Description
Image,Image
Save Product,Save Product
Seller Info,Seller Info
Action,Action
Condition,Condition
Delete,Delete
Qty,Qty
Status,Status
Approved,Approved
Unapproved,Unapproved
Search For Product,Search For Product
Search,Search
Available from %1 more seller(s),Available from %1 more seller(s)
From,From
No Product Found,No Product Found
Your assigned product for '%1' is disapproved.,Your assigned product for '%1' is disapproved.
Your assigned product for '%1' is approved.,Your assigned product for '%1' is approved.
A total of %1 Product(s) have been approved.,A total of %1 Product(s) have been approved.
A total of %1 Product(s) have been disapproved.,A total of %1 Product(s) have been disapproved.
There was some problem in uploading image.,There was some problem in uploading image.
There was some error while processing your request.,There was some error while processing your request.
Product is saved successfully.,Product is saved successfully.
Something went wrong.,Something went wrong.
Product condition is required field.,Product condition is required field.
Price is required field.,Price is required field.
Price should be numeric.,Price should be numeric.
Quantity is required field.,Quantity is required field.
Quantity should be numeric.,Quantity should be numeric.
Description is required field.,Description is required field.
Please select associated products.,Please select associated products.
Invalid request.,Invalid request.
Product does not exist.,Product does not exist.
Product type not allowed.,Product type not allowed.
Product is your own product.,Product is your own product.
Already assigned to you.,Already assigned to you.
Quantities are not available from seller.,Quantities are not available from seller.
Product Name,Product Name
Seller,Seller
Rating,Rating
Availability,Availability
IN STOCK,IN STOCK
OUT OF STOCK,OUT OF STOCK
Action,Action
Name,Name
Sell Yours,Sell Yours
To Become Seller Please Contact to Admin.,To Become Seller Please Contact to Admin.
Do you want to edit?,Do you want to edit?
Do you want to delete product?,Do you want to delete product?
Please select products to delete.,Please select products to delete.
Associated Products,Associated Products
Sold by %1 Sellers from %2,Sold by %1 Sellers from %2
Sold by %1 Seller at %2,Sold by %1 Seller at %2
My Product List,My Product List
Sold by %1 more Sellers from %2,Sold by %1 more Sellers from %2
Sold by %1 more Seller at %2,Sold by %1 more Seller at %2
Sold by %1 more Sellers,Sold by %1 more Sellers
Sold by %1 more Seller,Sold by %1 more Seller
Information,Information
OUT OF STOCK,OUT OF STOCK
IN STOCK,IN STOCK
Be the first to review,Be the first to review
View Products,View Products
Add Image,Add Image
Base Image,Base Image
Add Product Image,Add Product Image
Please select associated product.,Please select associated product.
Set Descending Direction,Set Descending Direction
Set Ascending Direction,Set Ascending Direction
Delete Showcase,Delete Showcase
Do you want to edit?,Do you want to edit?
Do you want to delete product?,Do you want to delete product?
Please select products to delete.,Please select products to delete.
Product is currently not available from seller.,Product is currently not available from seller.
No assigned products,No assigned products
Associated Product,Associated Product
Approved,Approved
Disapproved,Disapproved
Assigned By,Assigned By
Product Owner,Product Owner
