"Hi %1, your product %2 deny by admin on %3 For reason please check your mail at %4","Hi %1, your product %2 deny by admin on %3 For reason please check your mail at %4"
"Hi %1, your seller account approved by admin on %2","Hi %1, your seller account approved by admin on %2"
"Hi %1, your product '%2' approved by Admin ","Hi %1, your product '%2' approved by Admin "
"Hi %1, you seller account deny by admin on %2 For reason please check your mail at %3","Hi %1, you seller account deny by admin on %2 For reason please check your mail at %3"
"Hi %1, The Invoice of the products '%2' has been generated. The order id is %3","Hi %1, The Invoice of the products '%2' has been generated. The order id is %3"
"Hi %1, the Order has been canceled, please check your mail for more details at %2","Hi %1, the Order has been canceled, please check your mail for more details at %2"
"Hi %1,the Order's creditmemo Generated, please check your mail for more details at %2","Hi %1,the Order's creditmemo Generated, please check your mail for more details at %2"
"Hi %s, the Order has been placed, please check your mail for more details at %s","Hi %s, the Order has been placed, please check your mail for more details at %s"
"Hi %1, your seller account Disapproved by admin on %2","Hi %1, your seller account Disapproved by admin on %2"
"Hi %1, The Invoice of the products '%2' has been generated.The order id is %3","Hi %1, The Invoice of the products '%2' has been generated.The order id is %3"
"Hi %1, %2 Quantity of your product %3 has been sold from your store %4.The order id is %5","Hi %1, %2 Quantity of your product %3 has been sold from your store %4.The order id is %5"
"Marketplace Twilio Configuration Settings","Marketplace Twilio Configuration Settings"
"Enabled","Enabled"
"Account SID","Account SID"
"Auth Token","Auth Token"
"Twilio Phone Number","Twilio Phone Number"
"Use number without + prefix","Use number without + prefix"
"Hi %1, your product %2 disapproved by admin","Hi %1, your product %2 disapproved by admin"
